"A","Sec","KM","StartLat","StartLon","EndLat","EndLon","Length_km"
"A1","1","0+000 -> 6+150","27.495465","35.596878","27.540569","35.567266","6.15"
"A1","2","6+150 -> 14+800","27.540569","35.567266","27.612152","35.541601","8.65"
"A1","3","14+800 -> 18+750","27.612152","35.541601","27.644166","35.524716","3.95"
"A1","4","18+750 -> 24+750","27.644166","35.524716","27.68236","35.484492","6"
"A1","5","24+750 -> 35+150","27.68236","35.484492","27.76921","35.450273","10.4"
"A1","6","35+150 -> 42+200","27.76921","35.450273","27.828293","35.424811","7.05"
"A1","7","42+200 -> 48+300","27.828293","35.424811","27.876768","35.397141","6.1"
"A1","8","48+300 -> 52+800","27.876768","35.397141","27.909931","35.376086","4.5"
"A1","9","52+800 -> 60+800","27.909931","35.376086","27.959596","35.317991","8"
"A1","10","60+800 -> 64+970","27.959596","35.317991","27.996529","35.319221","4.17"
"A2","1","0+000 -> 7+500","27.996481","35.316825","27.978479","35.290473","7.5"
"A2","2","7+500 -> 15+700","27.978479","35.290473","28.043346","35.253067","8.2"
"A2","3","15+700 -> 24+200","28.043346","35.253067","28.074083","35.17486","8.5"
"A2","4","24+200 -> 30+750","28.074083","35.17486","28.096176","35.114335","6.55"
"A2","5","30+750 -> 34+685","28.096176","35.114335","28.112979","35.079011","3.94"
